,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ofav_gene,contrast,contrast_gene,name,description,contrast_id
688,36.81138718,-20.33567332,1.953003798,-10.41251089,2.17E-25,3.45E-22,LOC110050929,4,4_LOC110050929,LOC110050929,uncharacterized LOC110050929, C_PE_H_C_EE_H
811,13.52807743,-20.32870274,2.887069191,-7.041293919,1.90E-12,2.28E-10,LOC110054393,4,4_LOC110054393,LOC110054393,uncharacterized LOC110054393, C_PE_H_C_EE_H
830,14.81624534,-20.32791819,2.989857198,-6.798959564,1.05E-11,1.10E-09,LOC110064890,4,4_LOC110064890,LOC110064890,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1-like", C_PE_H_C_EE_H
74,28.25669217,-20.32033015,3.399142017,-5.978076247,2.26E-09,4.85E-07,LOC110041256,1,1_LOC110041256,LOC110041256,von Hippel-Lindau tumor suppressor homolog, C_EE_H_D_EE_H
102,17.36169121,-20.31975162,3.669383369,-5.537647494,3.07E-08,4.78E-06,LOC110066112,1,1_LOC110066112,LOC110066112,"arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2-like", C_EE_H_D_EE_H
807,28.85657506,-20.30382501,2.872963738,-7.067205458,1.58E-12,1.95E-10,LOC110052232,4,4_LOC110052232,LOC110052232,uncharacterized LOC110052232, C_PE_H_C_EE_H
255,8.653726507,-20.30373778,4.757510802,-4.267722896,1.97E-05,0.001230639,LOC110043628,1,1_LOC110043628,LOC110043628,O-acetyl-ADP-ribose deacetylase 1-like, C_EE_H_D_EE_H
159,19.33495207,-20.30346694,4.030545868,-5.037398805,4.72E-07,4.72E-05,LOC110062257,1,1_LOC110062257,LOC110062257,uncharacterized LOC110062257, C_EE_H_D_EE_H
858,13.96730665,-20.29811106,3.094426258,-6.55957175,5.40E-11,4.76E-09,LOC110069487,4,4_LOC110069487,LOC110069487,"collagen triple helix repeat-containing protein 1-like, transcript variant X2", C_PE_H_C_EE_H
804,11.29211306,-20.27567717,2.857525693,-7.095536261,1.29E-12,1.63E-10,LOC110059142,4,4_LOC110059142,LOC110059142,UDP-glucuronosyltransferase 2B19-like, C_PE_H_C_EE_H
883,14.99790522,-20.2745214,3.230242509,-6.276470372,3.46E-10,2.68E-08,LOC110063175,4,4_LOC110063175,LOC110063175,voltage-dependent calcium channel subunit alpha-2/delta-2-like, C_PE_H_C_EE_H
279,29.551711,-20.25470824,4.869687616,-4.159344467,3.19E-05,0.001817852,LOC110055858,1,1_LOC110055858,LOC110055858,"uncharacterized LOC110055858, transcript variant X2", C_EE_H_D_EE_H
947,8.917943875,-20.25190278,3.642934606,-5.559227647,2.71E-08,1.60E-06,LOC110050700,4,4_LOC110050700,LOC110050700,UDP-glucuronosyltransferase 2B33-like, C_PE_H_C_EE_H
721,20.74259272,-20.24628293,2.341283157,-8.647515728,5.26E-18,1.95E-15,LOC110063730,4,4_LOC110063730,LOC110063730,calmodulin-like, C_PE_H_C_EE_H
836,17.4845792,-20.21012568,2.983503731,-6.773956898,1.25E-11,1.26E-09,LOC110050011,4,4_LOC110050011,LOC110050011,protein DBF4 homolog B-like, C_PE_H_C_EE_H
712,25.223293,-20.20800776,2.274323397,-8.885283327,6.38E-19,2.89E-16,LOC110061179,4,4_LOC110061179,LOC110061179,uncharacterized LOC110061179, C_PE_H_C_EE_H
1075,2.364015573,-20.19868082,5.705600121,-3.540150097,0.0003999,0.016007061,LOC110063825,4,4_LOC110063825,LOC110063825,cytochrome P450 3A19-like, C_PE_H_C_EE_H
898,9.984978681,-20.19080256,3.316187718,-6.088558393,1.14E-09,8.23E-08,LOC110063490,4,4_LOC110063490,LOC110063490,diphthine--ammonia ligase-like, C_PE_H_C_EE_H
93,31.02365786,-20.18775948,3.55214454,-5.683259578,1.32E-08,2.26E-06,LOC110060001,1,1_LOC110060001,LOC110060001,BTB/POZ domain-containing protein 6-like, C_EE_H_D_EE_H
957,7.679987272,-20.18746238,3.686193975,-5.476505717,4.34E-08,2.47E-06,LOC110040897,4,4_LOC110040897,LOC110040897,uncharacterized LOC110040897, C_PE_H_C_EE_H
746,14.49499471,-20.18414547,2.48923855,-8.108562141,5.12E-16,1.18E-13,LOC110059420,4,4_LOC110059420,LOC110059420,myosin-2 heavy chain-like, C_PE_H_C_EE_H
138,18.79934339,-20.18206724,3.877446348,-5.204989424,1.94E-07,2.23E-05,LOC110057336,1,1_LOC110057336,LOC110057336,atherin-like, C_EE_H_D_EE_H
381,6.98771023,-20.15662637,5.837886203,-3.452726838,0.000554951,0.023146249,LOC110054069,1,1_LOC110054069,LOC110054069,cytidine deaminase-like, C_EE_H_D_EE_H
100,18.11739116,-20.14864386,3.604317209,-5.590141681,2.27E-08,3.61E-06,LOC110069663,1,1_LOC110069663,LOC110069663,"uncharacterized LOC110069663, transcript variant X2", C_EE_H_D_EE_H
920,11.80520943,-20.14778073,3.470192045,-5.805955539,6.40E-09,4.20E-07,LOC110051193,4,4_LOC110051193,LOC110051193,major facilitator superfamily domain-containing protein 6-like, C_PE_H_C_EE_H
1012,4.279062042,-20.14239911,4.321568473,-4.660900142,3.15E-06,0.000149789,LOC110061589,4,4_LOC110061589,LOC110061589,L-cysteine desulfhydrase-like, C_PE_H_C_EE_H
912,14.42420473,-20.14146515,3.41603132,-5.896159392,3.72E-09,2.53E-07,LOC110055691,4,4_LOC110055691,LOC110055691,"general transcription factor 3C polypeptide 1-like, transcript variant X1", C_PE_H_C_EE_H
284,9.580204957,-20.12605004,4.873100806,-4.13002949,3.63E-05,0.002029553,LOC110059684,1,1_LOC110059684,LOC110059684,uncharacterized LOC110059684, C_EE_H_D_EE_H
1008,3.152450218,-20.10232326,4.271209226,-4.706471212,2.52E-06,0.000121369,LOC110043922,4,4_LOC110043922,LOC110043922,uncharacterized LOC110043922, C_PE_H_C_EE_H
1021,4.16884235,-20.09606585,4.589429865,-4.378771751,1.19E-05,0.000552942,LOC110061135,4,4_LOC110061135,LOC110061135,Meckel syndrome type 1 protein-like, C_PE_H_C_EE_H
783,24.06848071,-20.07995567,2.659705113,-7.549692474,4.36E-14,6.60E-12,LOC110050139,4,4_LOC110050139,LOC110050139,"HEAT repeat-containing protein 4-like, transcript variant X1", C_PE_H_C_EE_H
808,10.63872114,-20.07378933,2.849026977,-7.045840384,1.84E-12,2.25E-10,LOC110042671,4,4_LOC110042671,LOC110042671,protein lin-41-like, C_PE_H_C_EE_H
271,10.88480087,-20.07029561,4.771071983,-4.206663761,2.59E-05,0.001519721,LOC110049607,1,1_LOC110049607,LOC110049607,"adenylosuccinate lyase-like, transcript variant X2", C_EE_H_D_EE_H
98,20.4109407,-20.06577402,3.56533578,-5.628018021,1.82E-08,2.96E-06,LOC110066455,1,1_LOC110066455,LOC110066455,serine/threonine-protein kinase 33-like, C_EE_H_D_EE_H
303,10.37596709,-20.0636949,5.03070894,-3.98824403,6.66E-05,0.003490994,LOC110052521,1,1_LOC110052521,LOC110052521,ras-related and estrogen-regulated growth inhibitor-like, C_EE_H_D_EE_H
238,19.99326703,-20.05059438,4.557961355,-4.399026849,1.09E-05,0.000721584,LOC110042118,1,1_LOC110042118,LOC110042118,"cAMP-dependent protein kinase catalytic subunit-like, transcript variant X2", C_EE_H_D_EE_H
421,7.280149294,-20.0479541,6.38604492,-3.139338096,0.0016933,0.06391502,LOC110056074,1,1_LOC110056074,LOC110056074,"ATP synthase subunit s, mitochondrial-like", C_EE_H_D_EE_H
245,19.11899392,-20.04750714,4.609313952,-4.34934729,1.37E-05,0.000885637,LOC110044491,1,1_LOC110044491,LOC110044491,uncharacterized LOC110044491, C_EE_H_D_EE_H
761,19.11888819,-20.04325634,2.545144674,-7.875095095,3.40E-15,6.52E-13,LOC110067194,4,4_LOC110067194,LOC110067194,"ral guanine nucleotide dissociation stimulator-like 1, transcript variant X1", C_PE_H_C_EE_H
720,16.48774386,-20.04320713,2.308307632,-8.683074497,3.85E-18,1.47E-15,LOC110054499,4,4_LOC110054499,LOC110054499,gamma-butyrobetaine dioxygenase-like, C_PE_H_C_EE_H
181,12.91228449,-20.03933047,4.126664411,-4.856060119,1.20E-06,0.00010513,LOC110064527,1,1_LOC110064527,LOC110064527,transient receptor potential cation channel subfamily A member 1-like, C_EE_H_D_EE_H
789,13.6855018,-20.02644458,2.700637506,-7.415450807,1.21E-13,1.74E-11,LOC110053701,4,4_LOC110053701,LOC110053701,peroxisome assembly protein 26-like, C_PE_H_C_EE_H
760,19.33840243,-20.02058171,2.536000297,-7.894550223,2.91E-15,5.65E-13,LOC110048084,4,4_LOC110048084,LOC110048084,serine protease 23-like, C_PE_H_C_EE_H
310,9.331471995,-19.98300871,5.053183476,-3.954538521,7.67E-05,0.003942104,LOC110057534,1,1_LOC110057534,LOC110057534,sodium channel modifier 1-like, C_EE_H_D_EE_H
918,6.482459625,-19.9732108,3.428390825,-5.825826699,5.68E-09,3.76E-07,LOC110057904,4,4_LOC110057904,LOC110057904,uncharacterized LOC110057904, C_PE_H_C_EE_H
828,15.15242072,-19.97266263,2.931447135,-6.813243327,9.54E-12,1.00E-09,LOC110065626,4,4_LOC110065626,LOC110065626,tetratricopeptide repeat protein 28-like, C_PE_H_C_EE_H
228,9.813666225,-19.96749067,4.402882946,-4.535094599,5.76E-06,0.000401301,LOC110062663,1,1_LOC110062663,LOC110062663,sodium- and chloride-dependent taurine transporter-like, C_EE_H_D_EE_H
133,13.68292128,-19.95701791,3.782160709,-5.276618169,1.32E-07,1.57E-05,LOC110057383,1,1_LOC110057383,LOC110057383,adenosine receptor A3-like, C_EE_H_D_EE_H
838,10.61774758,-19.95571535,2.955957876,-6.751014792,1.47E-11,1.46E-09,LOC110064402,4,4_LOC110064402,LOC110064402,uncharacterized LOC110064402, C_PE_H_C_EE_H
849,15.42024078,-19.95030103,3.008028362,-6.632351372,3.30E-11,3.07E-09,LOC110066600,4,4_LOC110066600,LOC110066600,"inosine-5'-monophosphate dehydrogenase 1b-like, transcript variant X2", C_PE_H_C_EE_H
321,7.407848966,-19.933578,5.154752056,-3.867029448,0.000110169,0.005453887,LOC110051739,1,1_LOC110051739,LOC110051739,"UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 2-like, transcript variant X2", C_EE_H_D_EE_H
810,12.84604616,-19.93065504,2.830632129,-7.041061548,1.91E-12,2.28E-10,LOC110052922,4,4_LOC110052922,LOC110052922,8-oxo-dGDP phosphatase NUDT18-like, C_PE_H_C_EE_H
876,10.27987411,-19.92879619,3.137022354,-6.352774684,2.11E-10,1.70E-08,LOC110062420,4,4_LOC110062420,LOC110062420,"potassium voltage-gated channel subfamily A member 2-like, transcript variant X2", C_PE_H_C_EE_H
96,14.73987629,-19.9249052,3.509422862,-5.677544709,1.37E-08,2.27E-06,LOC110058403,1,1_LOC110058403,LOC110058403,uncharacterized LOC110058403, C_EE_H_D_EE_H
399,9.386953467,-19.92090258,5.988059733,-3.326770852,0.000878586,0.0349915,LOC110051433,1,1_LOC110051433,LOC110051433,CUB and peptidase domain-containing protein 2-like, C_EE_H_D_EE_H
774,30.14853123,-19.90473035,2.57819756,-7.720405397,1.16E-14,1.92E-12,LOC110064066,4,4_LOC110064066,LOC110064066,tyrosine-protein kinase FRK-like, C_PE_H_C_EE_H
317,10.59121114,-19.89257955,5.07188027,-3.92213114,8.78E-05,0.004399812,LOC110051192,1,1_LOC110051192,LOC110051192,major facilitator superfamily domain-containing protein 6-like, C_EE_H_D_EE_H
295,6.617960423,-19.88120735,4.924263857,-4.037396843,5.40E-05,0.002911425,LOC110048821,1,1_LOC110048821,LOC110048821,uncharacterized LOC110048821, C_EE_H_D_EE_H
288,10.6867184,-19.87332895,4.859741958,-4.089379462,4.33E-05,0.002386568,LOC110067067,1,1_LOC110067067,LOC110067067,uncharacterized LOC110067067, C_EE_H_D_EE_H
870,14.77220293,-19.87283514,3.107445343,-6.3952324,1.60E-10,1.33E-08,LOC110048665,4,4_LOC110048665,LOC110048665,"beta-hexosaminidase-like, transcript variant X2", C_PE_H_C_EE_H
338,8.011669471,-19.86713885,5.357201241,-3.708492168,0.000208497,0.009802448,LOC110050834,1,1_LOC110050834,LOC110050834,"uncharacterized LOC110050834, transcript variant X2", C_EE_H_D_EE_H
1084,9.32605566,-19.86124006,5.70564552,-3.480980372,0.000499582,0.01955384,LOC110041897,4,4_LOC110041897,LOC110041897,uncharacterized LOC110041897, C_PE_H_C_EE_H
889,13.35037181,-19.8539669,3.187582833,-6.228533637,4.71E-10,3.55E-08,LOC110058779,4,4_LOC110058779,LOC110058779,uncharacterized LOC110058779, C_PE_H_C_EE_H
754,15.79488125,-19.8215924,2.495549313,-7.942777289,1.98E-15,4.08E-13,LOC110064622,4,4_LOC110064622,LOC110064622,"uncharacterized LOC110064622, transcript variant X2", C_PE_H_C_EE_H
307,6.482459625,-19.81332291,4.987086918,-3.972925123,7.10E-05,0.003674878,LOC110057904,1,1_LOC110057904,LOC110057904,uncharacterized LOC110057904, C_EE_H_D_EE_H
962,8.011669471,-19.79874048,3.678889021,-5.381717243,7.38E-08,4.13E-06,LOC110050834,4,4_LOC110050834,LOC110050834,"uncharacterized LOC110050834, transcript variant X2", C_PE_H_C_EE_H
335,8.917943875,-19.79695071,5.304839598,-3.731866033,0.000190067,0.009015964,LOC110050700,1,1_LOC110050700,LOC110050700,UDP-glucuronosyltransferase 2B33-like, C_EE_H_D_EE_H
269,15.56345351,-19.79534083,4.696627789,-4.214798729,2.50E-05,0.001476865,LOC110049641,1,1_LOC110049641,LOC110049641,"histone acetyltransferase KAT7-like, transcript variant X3", C_EE_H_D_EE_H
104,29.70030396,-19.79499992,3.586396384,-5.519467958,3.40E-08,5.20E-06,LOC110050490,1,1_LOC110050490,LOC110050490,sodium-coupled monocarboxylate transporter 1-like, C_EE_H_D_EE_H
888,16.4114474,-19.79471448,3.176335655,-6.2319341,4.61E-10,3.49E-08,LOC110045418,4,4_LOC110045418,LOC110045418,sodium-dependent dopamine transporter-like, C_PE_H_C_EE_H
75,16.48774386,-19.78991678,3.321298381,-5.95848807,2.55E-09,5.39E-07,LOC110054499,1,1_LOC110054499,LOC110054499,gamma-butyrobetaine dioxygenase-like, C_EE_H_D_EE_H
845,18.185449,-19.78627555,2.959558983,-6.685548647,2.30E-11,2.19E-09,LOC110052681,4,4_LOC110052681,LOC110052681,uncharacterized LOC110052681, C_PE_H_C_EE_H
992,12.21777091,-19.78511611,4.001002141,-4.945040122,7.61E-07,3.85E-05,LOC110050342,4,4_LOC110050342,LOC110050342,uncharacterized LOC110050342, C_PE_H_C_EE_H
345,7.679987272,-19.76374116,5.369051059,-3.68104921,0.000232276,0.010667921,LOC110040897,1,1_LOC110040897,LOC110040897,uncharacterized LOC110040897, C_EE_H_D_EE_H
882,10.65137486,-19.7603021,3.14051772,-6.292052414,3.13E-10,2.44E-08,LOC110054371,4,4_LOC110054371,LOC110054371,uncharacterized LOC110054371, C_PE_H_C_EE_H
233,15.71104955,-19.75453432,4.383071153,-4.507007445,6.57E-06,0.000448415,LOC110064193,1,1_LOC110064193,LOC110064193,"uncharacterized LOC110064193, transcript variant X2", C_EE_H_D_EE_H
960,14.29591687,-19.72978899,3.620471241,-5.449508552,5.05E-08,2.85E-06,LOC110055348,4,4_LOC110055348,LOC110055348,"golgin subfamily A member 6-like protein 6, transcript variant X2", C_PE_H_C_EE_H
256,13.35037181,-19.72759728,4.630079235,-4.260747232,2.04E-05,0.001259807,LOC110058779,1,1_LOC110058779,LOC110058779,uncharacterized LOC110058779, C_EE_H_D_EE_H
1022,6.221166298,-19.71993341,4.510031122,-4.372460606,1.23E-05,0.000567521,LOC110064052,4,4_LOC110064052,LOC110064052,kelch-like protein diablo, C_PE_H_C_EE_H
821,15.70415737,-19.71549782,2.85417871,-6.907590525,4.93E-12,5.48E-10,LOC110048425,4,4_LOC110048425,LOC110048425,14-3-3 protein 2-like, C_PE_H_C_EE_H
144,22.12038305,-19.70446307,3.832959816,-5.14079563,2.74E-07,3.02E-05,LOC110069374,1,1_LOC110069374,LOC110069374,uncharacterized LOC110069374, C_EE_H_D_EE_H
978,13.68546478,-19.69975705,3.804416073,-5.178128963,2.24E-07,1.19E-05,LOC110042692,4,4_LOC110042692,LOC110042692,dermatan-sulfate epimerase-like protein, C_PE_H_C_EE_H
283,7.771327218,-19.69687886,4.755976926,-4.141500089,3.45E-05,0.001937476,LOC110044341,1,1_LOC110044341,LOC110044341,UPF0573 protein C2orf70 homolog A-like, C_EE_H_D_EE_H
869,12.33850473,-19.69377153,3.073413126,-6.407785325,1.48E-10,1.23E-08,LOC110047837,4,4_LOC110047837,LOC110047837,growth/differentiation factor 8-like, C_PE_H_C_EE_H
232,15.42024078,-19.67477222,4.364297728,-4.508118704,6.54E-06,0.000447996,LOC110066600,1,1_LOC110066600,LOC110066600,"inosine-5'-monophosphate dehydrogenase 1b-like, transcript variant X2", C_EE_H_D_EE_H
251,10.27987411,-19.66230262,4.555642182,-4.316033138,1.59E-05,0.001005743,LOC110062420,1,1_LOC110062420,LOC110062420,"potassium voltage-gated channel subfamily A member 2-like, transcript variant X2", C_EE_H_D_EE_H
847,10.45344852,-19.66007568,2.945143526,-6.67542193,2.47E-11,2.32E-09,LOC110066265,4,4_LOC110066265,LOC110066265,uncharacterized LOC110066265, C_PE_H_C_EE_H
916,9.01594659,-19.65695404,3.363278337,-5.844581408,5.08E-09,3.39E-07,LOC110041798,4,4_LOC110041798,LOC110041798,"mevalonate kinase-like, transcript variant X1", C_PE_H_C_EE_H
239,8.322761244,-19.65514449,4.468557926,-4.398543068,1.09E-05,0.000721584,LOC110063531,1,1_LOC110063531,LOC110063531,uncharacterized LOC110063531, C_EE_H_D_EE_H
289,9.984978681,-19.64610065,4.821851716,-4.074389219,4.61E-05,0.002536801,LOC110063490,1,1_LOC110063490,LOC110063490,diphthine--ammonia ligase-like, C_EE_H_D_EE_H
290,8.120988948,-19.64592398,4.823844656,-4.072669288,4.65E-05,0.002538049,LOC110055825,1,1_LOC110055825,LOC110055825,uncharacterized LOC110055825, C_EE_H_D_EE_H
219,10.45344852,-19.63665729,4.270404675,-4.598312989,4.26E-06,0.000309059,LOC110066265,1,1_LOC110066265,LOC110066265,uncharacterized LOC110066265, C_EE_H_D_EE_H
320,13.89741486,-19.61288192,5.049486976,-3.88413358,0.000102695,0.005099791,LOC110067961,1,1_LOC110067961,LOC110067961,poly [ADP-ribose] polymerase 14-like, C_EE_H_D_EE_H
299,12.37905558,-19.60641714,4.881974811,-4.016083224,5.92E-05,0.003144896,LOC110065651,1,1_LOC110065651,LOC110065651,"poly [ADP-ribose] polymerase 14-like, transcript variant X3", C_EE_H_D_EE_H
215,12.31926483,-19.60564506,4.221105432,-4.644670779,3.41E-06,0.000251757,LOC110053225,1,1_LOC110053225,LOC110053225,collagen triple helix repeat-containing protein 1-like, C_EE_H_D_EE_H
119,17.00539816,-19.59610519,3.642864248,-5.379312503,7.48E-08,9.90E-06,LOC110068384,1,1_LOC110068384,LOC110068384,uncharacterized LOC110068384, C_EE_H_D_EE_H
248,6.727683723,-19.58486869,4.529404133,-4.323939335,1.53E-05,0.000980277,LOC110066624,1,1_LOC110066624,LOC110066624,uncharacterized LOC110066624, C_EE_H_D_EE_H
769,17.00539816,-19.58474366,2.523413922,-7.761209326,8.41E-15,1.47E-12,LOC110068384,4,4_LOC110068384,LOC110068384,uncharacterized LOC110068384, C_PE_H_C_EE_H
264,13.95051494,-19.56399873,4.62151209,-4.233246252,2.30E-05,0.001386502,LOC110040065,1,1_LOC110040065,LOC110040065,neuronal growth regulator 1-like, C_EE_H_D_EE_H
253,10.9168495,-19.54343353,4.549863735,-4.295388756,1.74E-05,0.001095333,LOC110057466,1,1_LOC110057466,LOC110057466,"uncharacterized LOC110057466, transcript variant X4", C_EE_H_D_EE_H
875,15.9945349,-19.53909794,3.069163675,-6.366261305,1.94E-10,1.56E-08,LOC110049717,4,4_LOC110049717,LOC110049717,F-box/WD repeat-containing protein 7-like, C_PE_H_C_EE_H
800,24.17473323,-19.52002535,2.690655819,-7.2547463,4.02E-13,5.24E-11,LOC110062326,4,4_LOC110062326,LOC110062326,uncharacterized LOC110062326, C_PE_H_C_EE_H
922,17.59043843,-19.47473985,3.358662862,-5.798361029,6.70E-09,4.36E-07,LOC110068256,4,4_LOC110068256,LOC110068256,tyramine/octopamine receptor-like, C_PE_H_C_EE_H
196,10.28906941,-19.45824025,4.095688535,-4.750908202,2.03E-06,0.000164184,LOC110059134,1,1_LOC110059134,LOC110059134,"beta-1,3-galactosyltransferase 5-like", C_EE_H_D_EE_H
346,4.774919322,-19.45789412,5.28589604,-3.681096634,0.000232233,0.010667921,LOC110056359,1,1_LOC110056359,LOC110056359,pterin-4-alpha-carbinolamine dehydratase-like, C_EE_H_D_EE_H
276,7.708759198,-19.45439974,4.663592094,-4.171548314,3.03E-05,0.001741889,LOC110068298,1,1_LOC110068298,LOC110068298,protein phosphatase 1 regulatory subunit 3C-like, C_EE_H_D_EE_H
991,10.57016605,-19.44814852,3.926194355,-4.953434997,7.29E-07,3.70E-05,LOC110045842,4,4_LOC110045842,LOC110045842,uncharacterized LOC110045842, C_PE_H_C_EE_H
908,8.653726507,-19.44176054,3.275434382,-5.935628157,2.93E-09,2.02E-07,LOC110043628,4,4_LOC110043628,LOC110043628,O-acetyl-ADP-ribose deacetylase 1-like, C_PE_H_C_EE_H
737,36.04349222,-19.43505885,2.335324286,-8.322209881,8.63E-17,2.33E-14,LOC110047027,4,4_LOC110047027,LOC110047027,uncharacterized LOC110047027, C_PE_H_C_EE_H
202,11.29211306,-19.41108254,4.143000148,-4.685271989,2.80E-06,0.000218706,LOC110059142,1,1_LOC110059142,LOC110059142,UDP-glucuronosyltransferase 2B19-like, C_EE_H_D_EE_H
986,11.33587953,-19.40262118,3.857261066,-5.030155038,4.90E-07,2.53E-05,LOC110041727,4,4_LOC110041727,LOC110041727,uncharacterized LOC110041727, C_PE_H_C_EE_H
373,5.332188431,-19.37833853,5.513229759,-3.514879549,0.000439953,0.018743434,LOC110061555,1,1_LOC110061555,LOC110061555,"uncharacterized LOC110061555, transcript variant X1", C_EE_H_D_EE_H
827,13.91643357,-19.37226374,2.842091736,-6.816199314,9.35E-12,9.97E-10,LOC110057786,4,4_LOC110057786,LOC110057786,homeobox protein ceh-19-like, C_PE_H_C_EE_H
226,13.3037258,-19.36579528,4.26062093,-4.54529882,5.49E-06,0.000385725,LOC110050547,1,1_LOC110050547,LOC110050547,deleted in malignant brain tumors 1 protein-like, C_EE_H_D_EE_H
891,13.3812533,-19.35934806,3.126858207,-6.191309863,5.97E-10,4.45E-08,LOC110048758,4,4_LOC110048758,LOC110048758,uncharacterized LOC110048758, C_PE_H_C_EE_H
813,15.17119865,-19.35626859,2.755658736,-7.024189293,2.15E-12,2.53E-10,LOC110044544,4,4_LOC110044544,LOC110044544,uncharacterized LOC110044544, C_PE_H_C_EE_H
865,15.04173147,-19.33827929,2.980287378,-6.488729722,8.66E-11,7.36E-09,LOC110056831,4,4_LOC110056831,LOC110056831,uncharacterized LOC110056831, C_PE_H_C_EE_H
250,13.25500393,-19.33604294,4.476543614,-4.319413504,1.56E-05,0.000994423,LOC110053132,1,1_LOC110053132,LOC110053132,"uncharacterized LOC110053132, transcript variant X2", C_EE_H_D_EE_H
357,10.23808203,-19.31183998,5.354817966,-3.606441918,0.000310424,0.013779197,LOC110039662,1,1_LOC110039662,LOC110039662,uncharacterized LOC110039662, C_EE_H_D_EE_H
230,14.82885086,-19.30957784,4.273931592,-4.517989449,6.24E-06,0.000431334,LOC110051143,1,1_LOC110051143,LOC110051143,"tolloid-like protein 2, transcript variant X1", C_EE_H_D_EE_H
799,22.12038305,-19.30069591,2.651954346,-7.277914095,3.39E-13,4.45E-11,LOC110069374,4,4_LOC110069374,LOC110069374,uncharacterized LOC110069374, C_PE_H_C_EE_H
82,28.1765426,-19.29875605,3.276910946,-5.889313555,3.88E-09,7.52E-07,LOC110067644,1,1_LOC110067644,LOC110067644,"neurocalcin homolog, transcript variant X1", C_EE_H_D_EE_H
903,7.708759198,-19.28094094,3.210012344,-6.00650056,1.90E-09,1.34E-07,LOC110068298,4,4_LOC110068298,LOC110068298,protein phosphatase 1 regulatory subunit 3C-like, C_PE_H_C_EE_H
114,18.39736395,-19.27527983,3.548088477,-5.432581503,5.55E-08,7.74E-06,LOC110062773,1,1_LOC110062773,LOC110062773,uncharacterized LOC110062773, C_EE_H_D_EE_H
410,5.431177505,-19.2683625,5.911065555,-3.259710507,0.00111526,0.043225839,LOC110053083,1,1_LOC110053083,LOC110053083,uncharacterized LOC110053083, C_EE_H_D_EE_H
396,8.068358084,-19.26791302,5.732884438,-3.360945651,0.000776761,0.031170481,LOC110052143,1,1_LOC110052143,LOC110052143,uncharacterized LOC110052143, C_EE_H_D_EE_H
292,13.7047188,-19.24623553,4.727727629,-4.070927312,4.68E-05,0.002548348,LOC110062755,1,1_LOC110062755,LOC110062755,fukutin-related protein-like, C_EE_H_D_EE_H
933,12.37905558,-19.23377232,3.358050127,-5.727660872,1.02E-08,6.35E-07,LOC110065651,4,4_LOC110065651,LOC110065651,"poly [ADP-ribose] polymerase 14-like, transcript variant X3", C_PE_H_C_EE_H
263,13.3812533,-19.22954187,4.541837426,-4.23386838,2.30E-05,0.001386502,LOC110048758,1,1_LOC110048758,LOC110048758,uncharacterized LOC110048758, C_EE_H_D_EE_H
665,3.807599401,-19.20991654,3.070650812,-6.255975595,3.95E-10,6.98E-07,LOC110040963,3,3_LOC110040963,LOC110040963,uncharacterized LOC110040963, C_PE_D_D_EE_D
142,8.681886301,-19.19696494,3.723899577,-5.155070525,2.54E-07,2.82E-05,LOC110058416,1,1_LOC110058416,LOC110058416,"phosphoglycolate phosphatase-like, transcript variant X1", C_EE_H_D_EE_H
252,15.80166519,-19.18739401,4.455360334,-4.306586352,1.66E-05,0.001045484,LOC110057028,1,1_LOC110057028,LOC110057028,2-oxoglutarate and iron-dependent oxygenase domain-containing protein 2-like, C_EE_H_D_EE_H
323,8.953009132,-19.18474253,4.988722217,-3.845622526,0.000120247,0.005897658,LOC110046286,1,1_LOC110046286,LOC110046286,uncharacterized LOC110046286, C_EE_H_D_EE_H
775,16.55473512,-19.15592509,2.483238759,-7.714089121,1.22E-14,2.00E-12,LOC110061801,4,4_LOC110061801,LOC110061801,XK-related protein 8-like, C_PE_H_C_EE_H
34,21.83561907,-19.15109203,2.981469516,-6.423373414,1.33E-10,6.23E-08,LOC110046058,1,1_LOC110046058,LOC110046058,galanin receptor type 1-like, C_EE_H_D_EE_H
885,15.21174516,-19.14799177,3.058613112,-6.260351037,3.84E-10,2.95E-08,LOC110043028,4,4_LOC110043028,LOC110043028,"uncharacterized LOC110043028, transcript variant X3", C_PE_H_C_EE_H
945,11.45006151,-19.14588721,3.431658315,-5.579193922,2.42E-08,1.44E-06,LOC110046690,4,4_LOC110046690,LOC110046690,translation initiation factor eIF-2B subunit gamma-like, C_PE_H_C_EE_H
39,35.19885966,-19.1239098,3.0196807,-6.333090052,2.40E-10,9.79E-08,LOC110053599,1,1_LOC110053599,LOC110053599,uncharacterized LOC110053599, C_EE_H_D_EE_H
794,25.38680759,-19.11505823,2.618886051,-7.298927048,2.90E-13,3.94E-11,LOC110052731,4,4_LOC110052731,LOC110052731,glycogen synthase kinase-3 beta-like, C_PE_H_C_EE_H
793,21.45628148,-19.11188671,2.61062833,-7.320799551,2.46E-13,3.41E-11,LOC110053631,4,4_LOC110053631,LOC110053631,C2 domain-containing protein 3-like, C_PE_H_C_EE_H
879,15.71104955,-19.11115683,3.022365353,-6.323245076,2.56E-10,2.02E-08,LOC110064193,4,4_LOC110064193,LOC110064193,"uncharacterized LOC110064193, transcript variant X2", C_PE_H_C_EE_H
